ID,Binding Affinity,Tanimoto Similarity,Centroid Distance
BR,-1.3,0.0,1.8949703268606903
CA4,-7.1,0.26605504587155965,0.40426777362842475
CA,-1.5,0.0,5.6134749564258035
CL,-1.1,0.0,4.587638760690407
CUX,-6.3,0.08661417322834646,0.33148447659445884
D29,-8.0,0.043478260869565216,0.44690440671461035
DHT,-10.2,1.0,0.0
DMS,-2.4,0.046875,5.253819858586837
DQL,-5.6,0.05747126436781609,0.29482013485268377
DTT,-3.4,0.01282051282051282,2.3167676062082974
DW9,-1.8,0.049586776859504134,0.5899972418795569
EDO,-2.2,0.014925373134328358,2.790947722061365
ENM,-5.2,0.3761467889908257,0.3120186601274616
EPE,-4.9,0.05747126436781609,0.6026363160878703
EQF,-8.4,0.09615384615384616,0.17103700307417374
F2X,-7.3,0.10227272727272728,0.8712120081035117
F5J,-7.2,0.08333333333333333,0.11123739874573427
FAK,-5.6,0.010309278350515464,0.7188306803657398
FE,-1.5,0.0,5.468244190697819
FHM,-7.5,0.05511811023622047,0.8447896194333202
FLF,-8.4,0.05555555555555555,0.23736909908819562
FME,-4.1,0.023809523809523808,1.6030776718362725
G6U,-7.9,0.059322033898305086,0.2603614582345964
GDP,-6.0,0.08943089430894309,0.30339492090818515
GLC,-5.2,0.07142857142857142,1.32657321630275
GLU,-4.0,0.025,2.5381484506028045
GNP,-5.6,0.08270676691729323,1.1538440641069663
GOL,-3.2,0.027777777777777776,4.373791090516131
GTP,-4.7,0.08270676691729323,0.47333174621465657
HFT,-7.6,0.0784313725490196,0.2834380523256644
HYQ,-9.5,0.14655172413793102,0.3539357222506841
ICO,-6.1,0.06896551724137931,1.2145507272142109
IHP,3.4,0.04195804195804196,0.6706024839824035
IMD,-2.6,0.027777777777777776,1.9465035688361934
IPH,-6.3,0.10227272727272728,2.273866399510964
JAD,-8.7,0.125,0.07519237256623464
JYX,-5.8,0.056818181818181816,0.9305212700717467
K10,-8.7,0.07017543859649122,0.19118349618769806
K76,-8.3,0.07086614173228346,0.8340902110281826
K85,-7.1,0.06722689075630252,1.0033229850242373
K8H,-5.5,0.16666666666666666,0.4537911395012777
K8N,-6.0,0.08888888888888889,0.8080120961163811
LB3,-7.1,0.11023622047244094,0.40526726507993255
LBF,-2.8,0.07947019867549669,2.509558852508784
LG7,-8.4,0.10714285714285714,0.48672916284056494
LGB,-9.2,0.10714285714285714,0.482870700011818
